epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[3.48403556e-11 8.41156485e-11 1.37064387e-10 1.27202715e-10
 6.52967934e-11]",[0.10968772 0.11172376 0.11290615 0.11156078 0.11234971],[1.25799946 1.62682159 1.80658617 1.77486743 1.53260168],[0.56910616 0.56932554 0.57033001 0.56866377 0.57053321],[0.45898317 0.4612324  0.4620855  0.46074964 0.46223296],[0.37289924 0.37352797 0.37458785 0.37329503 0.37452032],[3.45882393 3.46288425 3.46410286 3.46169704 3.46416813]
1,"[6.76921823e-11 1.33536551e-10 2.01272242e-10 2.15323537e-10
 9.57155215e-11]",[0.08153967 0.08689043 0.08938023 0.08530641 0.08913873],[1.71221484 2.03886047 2.20720046 2.28601068 1.85409824],[0.573289   0.57487403 0.57250148 0.57351958 0.57266393],[0.34186656 0.36929923 0.38024724 0.36066693 0.37997505],[0.2821264  0.31121088 0.3204109  0.30185363 0.32100486],[3.40872673 3.42837913 3.45104207 3.42099942 3.44783108]
2,"[4.02736773e-11 9.39820356e-11 1.51939356e-10 1.43528819e-10
 7.23065156e-11]",[0.11780946 0.12047436 0.12109915 0.12016097 0.12073433],[1.32414443 1.6388206  1.78994695 1.77219127 1.55033415],[0.57712423 0.57618372 0.57689627 0.57639079 0.57760421],[0.48210898 0.48555506 0.48538865 0.48501825 0.48561946],[0.39281487 0.3981842  0.39786016 0.39682484 0.39836062],[3.60737965 3.62369054 3.63681185 3.61814641 3.63528216]
3,"[4.91999009e-11 1.11530073e-10 1.74531970e-10 1.72188528e-10
 8.34374809e-11]",[0.10755048 0.11232028 0.11574502 0.11106689 0.1150397 ],[1.41939716 1.73536409 1.86386965 1.88366589 1.62350597],[0.57070795 0.57050427 0.57165106 0.57051923 0.57115548],[0.4349818  0.44469993 0.45014155 0.44219524 0.44989715],[0.35575341 0.36304626 0.36634675 0.3609754  0.3660607 ],[3.54615463 3.58135    3.61226421 3.56912916 3.60842925]
4,"[4.88365366e-11 1.15840423e-10 1.96091292e-10 1.75367094e-10
 9.25382165e-11]",[0.12288639 0.1255902  0.12412269 0.12540438 0.12427947],[1.38274363 1.66863963 1.82787174 1.77681352 1.61679274],[0.57488327 0.57587111 0.57703254 0.57561474 0.57680586],[0.48537679 0.48869936 0.47982826 0.48851563 0.48244766],[0.3928003  0.39322464 0.38070225 0.39414696 0.38313062],[3.73850134 3.74554446 3.74503347 3.74372119 3.74571962]
5,"[1.65327746e-10 3.30080881e-10 4.38300757e-10 5.35456558e-10
 2.14753071e-10]",[0.10526306 0.11335045 0.12376876 0.11031746 0.12206236],[2.00368301 2.08781445 1.9985436  2.2160989  1.89413644],[0.57746769 0.57881786 0.58082114 0.57882338 0.5808186 ],[0.44328698 0.46754901 0.49896149 0.45826309 0.49389677],[0.39676931 0.419184   0.44297345 0.41123862 0.43905621],[3.66542899 3.70760208 3.74791365 3.69265087 3.74259018]
6,"[2.28793534e-10 3.63788240e-10 3.39406353e-10 6.47638898e-10
 1.76040370e-10]",[0.04528439 0.053869   0.06861627 0.05033026 0.06599926],[2.88597919 3.16768135 2.81376411 3.68652401 2.44820019],[0.54726296 0.54968363 0.55277855 0.54848268 0.55210424],[0.15780687 0.1992137  0.26064881 0.18211008 0.25038163],[0.12604487 0.15128835 0.18834941 0.14122199 0.18211782],[2.54378532 2.733946   3.00065964 2.65828426 2.95935681]
7,"[5.07693495e-11 8.54643234e-11 9.08022217e-11 1.48306734e-10
 4.59374378e-11]",[0.05665482 0.06574684 0.07846358 0.06232618 0.07613283],[1.40480134 1.67968601 1.63584342 2.05422519 1.29544246],[0.55040205 0.54845316 0.54774491 0.54942903 0.54747384],[0.2196853  0.26710846 0.33481968 0.2480772  0.32534098],[0.19524336 0.23512594 0.29031415 0.21921338 0.28228147],[2.80460604 2.89822995 2.99140123 2.86434242 2.97917396]
8,"[1.17796061e-10 2.34073892e-10 3.48052643e-10 3.77018099e-10
 1.66128350e-10]",[0.06626209 0.07361286 0.07856115 0.07115083 0.07808913],[2.38917591 2.77682101 2.90839488 3.09881881 2.51081468],[0.56424297 0.56433977 0.56508272 0.56435113 0.56509728],[0.25533538 0.28430237 0.29958683 0.274949   0.29895793],[0.17912949 0.19605815 0.2023765  0.19049108 0.20238954],[2.97894315 3.07093196 3.14594238 3.0388369  3.13777348]
9,"[2.26386764e-10 3.57148524e-10 3.74248660e-10 6.33967327e-10
 1.87906785e-10]",[0.05392809 0.06575538 0.08116402 0.06103538 0.07903324],[2.9540408  3.02629073 2.68443585 3.49255737 2.39996438],[0.56095634 0.56041037 0.56088976 0.56142922 0.56062515],[0.19702815 0.25091549 0.31246077 0.22903151 0.30470806],[0.14880926 0.18563512 0.23197014 0.17056646 0.22556413],[2.60221099 2.8531966  3.10197721 2.75953883 3.07268899]
