epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.8987534527001445, 0.8975790941002469, 0.8964880924829125, 0.8980059876534546, 0.8966665277813083]","[-22.98965364845229, -22.108393596631366, -21.620264013955033, -21.69475073936223, -22.36175662118276]","[0.42337964365642844, 0.40724873280926815, 0.3845519177159762, 0.41445221135033705, 0.38797473677426786]"
1,"[0.900087381799377, 0.8997886081972223, 0.8981212657613795, 0.9000494929882111, 0.8984047300766064]","[-22.323081763220394, -21.643776268246636, -21.233180860110295, -21.166004978348504, -21.976535929952576]","[0.6866712168262354, 0.6944968771562587, 0.7199010394988008, 0.6921451542761295, 0.7148500026018089]"
2,"[0.8935893006965068, 0.8930340242684447, 0.8922720092609189, 0.893297568192101, 0.8923863509015216]","[-22.847605571695524, -21.999674621436604, -21.518724882398654, -21.57643749097422, -22.261371059187447]","[0.21376253267591303, 0.24238291310119525, 0.30791792414753555, 0.22457531333370834, 0.2957967181360327]"
3,"[0.9004635975732221, 0.8993575606611488, 0.8978187093066493, 0.8997889267117258, 0.898081388025972]","[-22.64564825699182, -21.827142078355934, -21.379254369187596, -21.392881533332602, -22.11727171509142]","[0.5082227045438467, 0.49208625533488637, 0.4938062697842949, 0.4963423239903619, 0.49351616087278777]"
4,"[0.8924137165722665, 0.8914372874485158, 0.8902682699954375, 0.8917965428652922, 0.8904249411478442]","[-22.65461947000714, -21.790862721207944, -21.263973145306196, -21.376251505810515, -22.01503864791945]","[0.17627029292925378, 0.2863790731039389, 0.4869390496167499, 0.24229383696396667, 0.4474776356509106]"
5,"[0.8890156086669303, 0.8876792570368454, 0.8851091081535866, 0.8883025643943327, 0.8855399589764499]","[-21.4317088805709, -20.741445149713112, -20.459499778943623, -20.25720633964419, -21.172662964280356]","[0.523426380795518, 0.4983633441150281, 0.4825747476819315, 0.5084432366285411, 0.4843814893299818]"
6,"[0.923523313745538, 0.9200440330873217, 0.9152397727709561, 0.9214005074238715, 0.9159217103646318]","[-21.10092204811312, -20.637760306771096, -20.708426113456785, -20.060738634496392, -21.364664310080265]","[0.8928177353113439, 0.874587405567518, 0.7401114101116217, 0.899834679841568, 0.7666722235128236]"
7,"[0.9302801769831092, 0.9302907068934927, 0.9295438941786984, 0.9303593131739654, 0.9297409358144629]","[-22.607726147968915, -22.087669497779054, -22.028413233125484, -21.536167219824165, -22.70959319866558]","[0.2534182639825277, 0.2510135065979373, 0.24655055318014785, 0.2520303563777357, 0.24732078285129314]"
8,"[0.8933749456660132, 0.8917997354267345, 0.8891657288282255, 0.8925733975116792, 0.8895482700259277]","[-21.76618906263675, -21.080179008349152, -20.68395824289095, -20.603279964834257, -21.42351473508229]","[1.0008718794948575, 0.9757473352896306, 0.9626779611127847, 0.9828364272739994, 0.9642234519730875]"
9,"[0.9067052841621425, 0.904411658318377, 0.9016250266254586, 0.9053175541232661, 0.9020343120321976]","[-21.112448496654746, -20.657644393596055, -20.612632095959295, -20.083328014330363, -21.30135592422582]","[0.9043431541469451, 0.8076489348046821, 0.7327426826323142, 0.8444845155144769, 0.7321807472578586]"
10,"[0.9023966933895162, 0.9013639511360857, 0.8992382780718007, 0.9017967851452687, 0.899650095047646]","[-22.11596616452254, -21.609291357061917, -21.500763923465623, -21.056013734430568, -22.19671377302494]","[0.4602867167055244, 0.3947771373752964, 0.22405744176917913, 0.42752407768388817, 0.24898794904425317]"
11,"[0.9120926892770246, 0.9121030843721001, 0.9109137197648005, 0.9121712625833469, 0.9112413808722067]","[-22.201519258412215, -21.423834423067227, -20.988651141262984, -20.97703504979785, -21.727583732208295]","[0.7420967219505056, 0.7632924976082976, 0.7965088017614267, 0.7542753927927506, 0.7911326235708666]"
12,"[0.9200077921397322, 0.9208580582875676, 0.9210921131107367, 0.9205798939382521, 0.9211353189151312]","[-23.627277618421378, -22.785653963065005, -22.340626575072164, -22.35746968119652, -23.07600983211724]","[0.31567095814815166, 0.30872787205655483, 0.30796569659759904, 0.31010384939797747, 0.3074884097880715]"
13,"[0.8947365112649007, 0.8962412475545757, 0.8970973619156474, 0.8956403882685974, 0.8970024793340485]","[-22.053430868084646, -21.4594304524557, -21.249508347043083, -20.9406815264255, -21.957448548210692]","[0.4572264501016914, 0.42713521643179264, 0.3996667041156493, 0.4391560977319317, 0.40142179897069785]"
14,"[0.8996964734477882, 0.8994000810111991, 0.8982953793388566, 0.8995671372391914, 0.8985441380659496]","[-22.31530418496722, -21.78798968540463, -21.719385899638322, -21.23938435278889, -22.401813370824637]","[0.2875416777919174, 0.2779944574607218, 0.2592165040819484, 0.28206872921027537, 0.26282728519906906]"
15,"[0.9052501599147773, 0.9042293706497858, 0.9030406828482341, 0.9046227792194695, 0.9032046134257574]","[-23.667170931108444, -22.812095267712014, -22.356886384391135, -22.38845484422766, -23.09335945552056]","[0.34382828644325253, 0.3270365913558822, 0.3209367029919417, 0.3330495517271051, 0.32112883295374284]"
16,"[0.8943132206473866, 0.8923959257809919, 0.8899044454938757, 0.8931602999568194, 0.8902749571502294]","[-22.87063168562114, -22.08873877955337, -21.653774833173685, -21.64311153768175, -22.39227069201021]","[0.38781305393503746, 0.30727428489605424, 0.20973866904793426, 0.33907187196691446, 0.21251324333098576]"
17,"[0.8978794081653297, 0.8968776487192459, 0.8959349950814219, 0.8972239498019622, 0.8960714520204167]","[-23.68238754185493, -22.80116096789716, -22.319819881965483, -22.38688248829981, -23.059844030808097]","[0.4388412956898479, 0.4287327515538521, 0.41787031271734093, 0.432348328601167, 0.4194146925471792]"
