mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[-8.45260244e-08 -1.31897750e-07 -1.67827499e-07 -1.62116176e-07
 -1.15967511e-07]","[5.90257195e-06 9.17145836e-06 1.17074501e-05 1.12784181e-05
 8.08064313e-06]","[3.48403556e-11 8.41156485e-11 1.37064387e-10 1.27202715e-10
 6.52967934e-11]",[0.09311212 0.06180542 0.01916499 0.07398867 0.02594608],[1.13180262 1.0654399  1.02936094 1.08670022 1.03161602],"[5.90317713e-06 9.17240674e-06 1.17086529e-05 1.12795832e-05
 8.08147523e-06]",[0.03795573 0.0375651  0.03717448 0.03769531 0.03717448],"[4.91715896e-12 1.20241664e-11 1.98657146e-11 1.80985114e-11
 9.44531724e-12]",[0.41477787 0.41553633 0.41798219 0.41510577 0.41751532],"[4.21458957e-12 1.01837014e-11 1.65402086e-11 1.54014639e-11
 7.88567446e-12]",[0.35551392 0.35193274 0.34801228 0.35324654 0.34857378],"[2.53660605e-12 6.17297203e-12 1.00584294e-11 9.31533756e-12
 4.79477314e-12]",[0.21397072 0.21332823 0.21163318 0.21365571 0.21194537],"[2.66389095e-12 6.49685476e-12 1.06395623e-11 9.79396631e-12
 5.06725054e-12]",[0.2247076  0.22452111 0.22386044 0.2246335  0.2239898 ],"[1.77367997e-13 4.51964670e-13 7.78648294e-13 6.70293836e-13
 3.68098335e-13]",[0.01496155 0.01561919 0.01638306 0.0153738  0.01627121],0
"[-7.75105698e-08 -5.60082231e-08  2.47696762e-08 -9.84208526e-08
  7.23259168e-09]","[8.22752589e-06 1.15558016e-05 1.41870449e-05 1.46739067e-05
 9.78343097e-06]","[6.76921823e-11 1.33536551e-10 2.01272242e-10 2.15323537e-10
 9.57155215e-11]",[-0.08797817  0.10395164  0.2349456   0.0319387   0.22982724],[1.61750454 0.77671069 0.6263552  1.00411821 0.59921557],"[8.22789099e-06 1.15559373e-05 1.41870665e-05 1.46742367e-05
 9.78343364e-06]",[0.0311849  0.03092448 0.02936198 0.03144531 0.0297526 ],"[5.50019173e-12 1.18200043e-11 1.80126248e-11 1.85672168e-11
 8.61908254e-12]",[0.42532518 0.41553091 0.40754903 0.41898723 0.40838656],"[4.30012040e-12 9.81725284e-12 1.53634081e-11 1.51270021e-11
 7.34920331e-12]",[0.33252467 0.34512441 0.34760853 0.34135545 0.34821755],"[2.81659471e-12 6.36008323e-12 9.95013168e-12 9.82994972e-12
 4.75547767e-12]",[0.21780489 0.223588   0.22512913 0.22182233 0.22532249],"[2.76324411e-12 6.07764142e-12 9.62888246e-12 9.45222156e-12
 4.57874301e-12]",[0.21367933 0.21365879 0.21786062 0.21329853 0.21694851],"[1.74194233e-13 3.88138020e-13 5.99982523e-13 6.02742591e-13
 2.87138787e-13]",[0.01347029 0.01364495 0.01357505 0.01360147 0.01360512],1
"[1.02008642e-07 9.66288807e-08 3.03758205e-08 1.47244032e-07
 3.05171536e-08]","[6.34615453e-06 9.69443323e-06 1.23263683e-05 1.19803514e-05
 8.50332380e-06]","[4.02736773e-11 9.39820356e-11 1.51939356e-10 1.43528819e-10
 7.23065156e-11]",[0.22937949 0.15302397 0.11943033 0.17507123 0.12212461],[0.81733218 0.67569517 0.72294765 0.70068231 0.70824802],"[6.34697432e-06 9.69491479e-06 1.23264058e-05 1.19812562e-05
 8.50337856e-06]",[0.03854167 0.0390625  0.04036458 0.03854167 0.03984375],"[4.68000116e-12 1.08438843e-11 1.71067903e-11 1.66295489e-11
 8.17931739e-12]",[0.35446119 0.34638167 0.34084279 0.34905299 0.34138113],"[3.74573063e-12 8.86997324e-12 1.41598668e-11 1.35084095e-11
 6.76514152e-12]",[0.28369996 0.28332985 0.28212706 0.28354051 0.28235751],"[3.20976282e-12 7.72503833e-12 1.24679553e-11 1.17021929e-11
 5.95047435e-12]",[0.243106   0.24675767 0.24841672 0.24562816 0.24835565],"[3.43278598e-12 8.20101748e-12 1.32104555e-11 1.24497499e-11
 6.30377569e-12]",[0.25999767 0.26196168 0.2632106  0.26131932 0.26310143],"[2.78383879e-13 6.82543679e-13 1.13439722e-12 1.02606654e-12
 5.38772537e-13]",[0.02108467 0.02180221 0.0226022  0.02153706 0.02248681],2
"[-9.91830672e-08 -9.71553114e-08 -3.83377874e-08 -1.45641018e-07
 -3.52670099e-08]","[7.01426410e-06 1.05607799e-05 1.32110548e-05 1.31220626e-05
 9.13441191e-06]","[4.91999009e-11 1.11530073e-10 1.74531970e-10 1.72188528e-10
 8.34374809e-11]",[-0.12281091 -0.07307271 -0.07585062 -0.08586784 -0.07174737],[-0.16249033 -0.11644096  0.16309631 -0.16602448  0.11759512],"[7.01496530e-06 1.05612268e-05 1.32111105e-05 1.31228708e-05
 9.13447999e-06]",[0.03007813 0.03177083 0.03255208 0.03033854 0.03229167],"[5.12811566e-12 1.14530226e-11 1.75696597e-11 1.77858879e-11
 8.42495288e-12]",[0.35684618 0.34190688 0.33117304 0.34691796 0.33225145],"[4.45550559e-12 1.02801734e-11 1.60063307e-11 1.58015513e-11
 7.67221803e-12]",[0.31004179 0.30689383 0.30170562 0.30821301 0.30256615],"[3.67061329e-12 8.76651057e-12 1.40230767e-11 1.33181276e-11
 6.70140609e-12]",[0.2554241  0.26170648 0.26432299 0.25977324 0.26428064],"[3.35473537e-12 8.14402098e-12 1.33888229e-11 1.22873707e-11
 6.36904908e-12]",[0.23344335 0.24312331 0.25236784 0.23966808 0.25117361],"[2.46341617e-13 6.34419453e-13 1.11041475e-12 9.36834374e-13
 5.23586850e-13]",[0.01714198 0.01893931 0.02093037 0.01827318 0.02064848],3
"[1.66515137e-07 1.75254630e-07 9.77280354e-08 2.53904891e-07
 8.04197743e-08]","[6.98831429e-06 1.07629189e-05 1.40032600e-05 1.32426241e-05
 9.61967861e-06]","[4.88365366e-11 1.15840423e-10 1.96091292e-10 1.75367094e-10
 9.25382165e-11]",[0.12309182 0.05833719 0.06262739 0.07442525 0.05772739],[0.21444719 0.14341559 0.50397642 0.11833313 0.43271404],"[6.99029784e-06 1.07643457e-05 1.40036011e-05 1.32450580e-05
 9.62001475e-06]",[0.03704427 0.03652344 0.03548177 0.03652344 0.03639323],"[4.12377793e-12 9.80819693e-12 1.61285104e-11 1.48785330e-11
 7.65942704e-12]",[0.28400123 0.28013107 0.28211671 0.28096864 0.28138099],"[3.85837650e-12 9.03007628e-12 1.41873451e-11 1.38154856e-11
 6.79526841e-12]",[0.26572325 0.25790723 0.24816223 0.26089387 0.24963477],"[3.83480263e-12 9.39185549e-12 1.54276563e-11 1.41383662e-11
 7.34533933e-12]",[0.26409974 0.26823998 0.26985751 0.26699121 0.26984249],"[4.78066011e-12 1.16163074e-11 1.89328816e-11 1.75362564e-11
 9.02368189e-12]",[0.32924017 0.33177236 0.33117022 0.33115752 0.33149901],"[3.36704625e-13 8.32929853e-13 1.39341180e-12 1.24839979e-12
 6.61317187e-13]",[0.02318857 0.02378924 0.02437328 0.02357498 0.02429452],4
"[-5.87716426e-08 -5.84488563e-08 -2.51327798e-08 -8.69811621e-08
 -2.24349532e-08]","[1.28579837e-05 1.81681282e-05 2.09356337e-05 2.31399343e-05
 1.46544557e-05]","[1.65327746e-10 3.30080881e-10 4.38300757e-10 5.35456558e-10
 2.14753071e-10]",[ 0.26150556  0.09433947 -0.00668025  0.14927934  0.00137877],[ 1.06479076  0.12100782 -0.19253876  0.39186464 -0.18377131],"[1.28581181e-05 1.81682222e-05 2.09356487e-05 2.31400977e-05
 1.46544729e-05]",[0.0374349  0.03795573 0.04003906 0.03769531 0.03951823],"[1.02717129e-11 2.04711949e-11 2.84609259e-11 3.31150501e-11
 1.37937469e-11]",[0.30387594 0.27919147 0.26003707 0.28778267 0.26194712],"[5.38841789e-12 1.15144045e-11 1.72108641e-11 1.81455572e-11
 8.26604146e-12]",[0.15940969 0.15703644 0.15724937 0.15769195 0.15697445],"[8.38697415e-12 1.89250489e-11 2.86798067e-11 2.93362790e-11
 1.38025556e-11]",[0.24811827 0.25810473 0.26203691 0.25494368 0.2621144 ],"[1.18248458e-11 2.71010158e-11 4.24372976e-11 4.17122981e-11
 2.03044422e-11]",[0.34982346 0.36961069 0.38773407 0.3624961  0.38558705],"[8.61505033e-13 2.00398052e-12 3.24953737e-12 3.06223843e-12
 1.54497762e-12]",[0.02548656 0.02733081 0.02968983 0.02661204 0.02933956],5
"[6.19285952e-08 1.00413530e-07 1.33162746e-07 1.21675499e-07
 9.14593204e-08]","[1.51259226e-05 1.90732336e-05 1.84229844e-05 2.54487504e-05
 1.32680206e-05]","[2.28793534e-10 3.63788240e-10 3.39406353e-10 6.47638898e-10
 1.76040370e-10]",[0.21760689 0.17847592 0.09192442 0.19629701 0.10723016],[1.4457056  1.02886495 0.36371155 1.20641019 0.45428545],"[1.51260494e-05 1.90734979e-05 1.84234656e-05 2.54490413e-05
 1.32683358e-05]",[0.02070312 0.02239583 0.02382812 0.02200521 0.02395833],"[2.07834023e-11 3.54783967e-11 3.66432633e-11 6.13746397e-11
 1.87205910e-11]",[0.68240303 0.63682134 0.56595741 0.6554058  0.57752807],"[8.88787574e-12 1.63411374e-11 1.90162374e-11 2.74210478e-11
 9.52403469e-12]",[0.29182485 0.2933161  0.29370693 0.29282313 0.29381537],"[3.36347207e-12 7.20786682e-12 1.02229006e-11 1.13974536e-11
 4.96991436e-12]",[0.11043637 0.12937798 0.15789332 0.12171081 0.15332128],"[2.66916200e-12 6.07327753e-12 9.29209285e-12 9.38515462e-12
 4.46580893e-12]",[0.08763937 0.10901261 0.14351693 0.10022193 0.13776969],"[1.52147638e-13 3.72440237e-13 6.20554175e-13 5.59971005e-13
 2.94552985e-13]",[0.00499562 0.00668514 0.0095845  0.0059798  0.00908693],6
"[-4.54465171e-08 -8.85056355e-08 -1.38432332e-07 -1.00746141e-07
 -9.29984258e-08]","[7.12526137e-06 9.24469163e-06 9.52901998e-06 1.21781252e-05
 6.77771627e-06]","[5.07693495e-11 8.54643234e-11 9.08022217e-11 1.48306734e-10
 4.59374378e-11]",[-0.6073609  -0.46652023 -0.24113938 -0.52567456 -0.27594006],[2.34778107 1.40740216 0.51703519 1.76089902 0.61054046],"[7.12540630e-06 9.24511529e-06 9.53002546e-06 1.21785419e-05
 6.77835426e-06]",[0.02272135 0.02311198 0.02558594 0.02324219 0.02467448],"[5.86418457e-12 1.16826782e-11 1.53799802e-11 1.89755292e-11
 7.54917342e-12]",[0.59537469 0.56555342 0.5321225  0.57673422 0.53675516],"[3.48500004e-12 7.82990671e-12 1.17392691e-11 1.21628992e-11
 5.66098852e-12]",[0.35382256 0.37904241 0.40615977 0.36967402 0.40250298],"[1.48527632e-12 3.46020644e-12 5.38204422e-12 5.30517428e-12
 2.58251463e-12]",[0.15079606 0.1675071  0.18621005 0.16124323 0.18361984],"[8.93227687e-13 2.00473615e-12 3.01950369e-12 3.11387127e-12
 1.45448581e-12]",[0.09068697 0.09704841 0.10446996 0.09464169 0.10341566],"[3.41014413e-14 7.88154577e-14 1.25524262e-13 1.20846126e-13
 5.98861070e-14]",[0.00346223 0.00381542 0.00434294 0.00367295 0.00425797],7
"[9.43542602e-09 1.07370483e-08 7.74924710e-09 1.50084532e-08
 5.96242347e-09]","[1.08533894e-05 1.52994736e-05 1.86561690e-05 1.94169539e-05
 1.28890787e-05]","[1.17796061e-10 2.34073892e-10 3.48052643e-10 3.77018099e-10
 1.66128350e-10]",[-0.24369637 -0.65457157 -0.77929953 -0.51630827 -0.79814776],[4.1232906  5.26299283 6.63116454 4.74472428 6.51897375],"[1.08533935e-05 1.52994774e-05 1.86561706e-05 1.94169597e-05
 1.28890801e-05]",[0.02910156 0.03001302 0.03105469 0.03027344 0.03066406],"[1.12080474e-11 2.35883620e-11 3.44693015e-11 3.74052315e-11
 1.66137723e-11]",[0.58604831 0.56089128 0.53906671 0.56981918 0.54155071],"[5.32744182e-12 1.11847664e-11 1.57564052e-11 1.77998565e-11
 7.65603827e-12]",[0.27856219 0.26595479 0.24641502 0.27115725 0.24956   ],"[2.21888167e-12 5.10887190e-12 7.97266773e-12 7.85584050e-12
 3.81891075e-12]",[0.11602127 0.12148032 0.12468485 0.11967333 0.1244831 ],"[2.83789806e-12 6.95946169e-12 1.17707904e-11 1.04437516e-11
 5.57005564e-12]",[0.1483885  0.16548421 0.18408384 0.15909673 0.18156428],"[3.29385099e-13 8.11619163e-13 1.39999769e-12 1.21406396e-12
 6.60025746e-13]",[0.01722294 0.01929893 0.02189462 0.01849466 0.02151452],8
"[-1.69425294e-07 -1.99207584e-07 -1.56832103e-07 -2.74495192e-07
 -1.18315688e-07]","[1.50461544e-05 1.88983736e-05 1.93455075e-05 2.51787078e-05
 1.37079096e-05]","[2.26386764e-10 3.57148524e-10 3.74248660e-10 6.33967327e-10
 1.87906785e-10]",[-0.68641106 -0.55257267 -0.18606084 -0.62071367 -0.2484899 ],[1.96697009 1.24713859 0.46535078 1.53531626 0.54247039],"[1.50471083e-05 1.88994235e-05 1.93461432e-05 2.51802040e-05
 1.37084202e-05]",[0.01751302 0.02050781 0.02376302 0.01907552 0.02376302],"[2.18401523e-11 3.78091698e-11 4.43135471e-11 6.46515560e-11
 2.19640619e-11]",[0.64986873 0.59627785 0.53613842 0.61701269 0.54364251],"[7.06363272e-12 1.44360926e-11 2.03355064e-11 2.31553767e-11
 9.85309613e-12]",[0.21018324 0.22766758 0.24603416 0.22098712 0.24387847],"[3.12788352e-12 7.41746082e-12 1.18730801e-11 1.12891744e-11
 5.66988812e-12]",[0.09307232 0.1169787  0.1436494  0.10774008 0.14033799],"[3.86914499e-12 9.11588675e-12 1.45666805e-11 1.39005631e-11
 6.95513000e-12]",[0.11512907 0.1437641  0.17623859 0.1326623  0.17214959],"[2.65071658e-13 6.50834488e-13 1.10026549e-12 9.76378829e-13
 5.20772131e-13]",[0.00788739 0.01026413 0.01331183 0.00931823 0.01288987],9
