epoch,stft_mean_power,wavelet_mean_power
0,"[4.841359376209298e-08, 1.5822079050243687e-07, 2.4076987729723634e-07, 2.1102032083702564e-07, 1.2871386313976843e-07]","[2.1289677258151608e-06, 6.869068717161569e-06, 1.0480966586678654e-05, 9.33078450620813e-06, 5.626763984375482e-06]"
1,"[4.540220078747257e-08, 1.457400356749009e-07, 2.2228113261043884e-07, 2.0555800852591428e-07, 1.1939142164117044e-07]","[1.7448480568512192e-06, 5.6572203443837135e-06, 8.61031739806002e-06, 7.794471682686728e-06, 4.6119860898080244e-06]"
2,"[4.63215983045806e-08, 1.4781332146654064e-07, 2.256228734545533e-07, 2.129054318991759e-07, 1.2149468135987637e-07]","[1.7424045619908898e-06, 5.592003044122254e-06, 8.520628865907361e-06, 8.066656485772631e-06, 4.57637193439892e-06]"
3,"[2.681808590188949e-08, 8.482372912118343e-08, 1.2999349528753038e-07, 1.1949163478278822e-07, 7.026566938320809e-08]","[1.3842250146681348e-06, 4.387038337765715e-06, 6.720730130315605e-06, 6.1439459443028765e-06, 3.6306469767236115e-06]"
4,"[2.2323671765357504e-08, 7.039081932012539e-08, 1.079041527614071e-07, 1.0014671862866575e-07, 5.837292499986508e-08]","[1.3643054653180755e-06, 4.252676789290787e-06, 6.5348501572350426e-06, 6.221212430538569e-06, 3.5489714329787495e-06]"
5,"[3.46188222670456e-08, 1.0616837476114565e-07, 1.6312258205007592e-07, 1.7584199395789568e-07, 8.872338835898456e-08]","[1.4099468585394056e-06, 4.570885695263269e-06, 6.95978468757558e-06, 6.304718509799395e-06, 3.728715983607409e-06]"
6,"[2.4075408265512982e-08, 7.617850023007651e-08, 1.1671487659941611e-07, 1.0778994346138399e-07, 6.30763817348425e-08]","[1.3661217625096029e-06, 4.311693816992966e-06, 6.608336527534364e-06, 6.131699265807891e-06, 3.5739862032324983e-06]"
7,"[2.6915787790947457e-08, 8.746417240971118e-08, 1.3273967638142293e-07, 1.2852559262966113e-07, 7.091527750272946e-08]","[1.317230557807159e-06, 4.207114238513027e-06, 6.430977537983723e-06, 5.86788544388488e-06, 3.463908074953387e-06]"
8,"[2.5541661742187963e-08, 7.92726475862692e-08, 1.218533056582689e-07, 1.1872614634585449e-07, 6.625703599454269e-08]","[1.3384636871531699e-06, 4.3593115181012285e-06, 6.641583321930091e-06, 5.7410263845820876e-06, 3.5559376275143865e-06]"
9,"[2.319738926356089e-08, 7.358727855228867e-08, 1.126952609161741e-07, 1.0301745855493097e-07, 6.086242719766548e-08]","[1.3270152156150202e-06, 4.143417996983246e-06, 6.366329821163969e-06, 6.019826076981205e-06, 3.455912450262935e-06]"
