epoch,stft_mean_power,wavelet_mean_power
0,"[2.0875024242908282e-07, 1.6763769349922992e-07, 1.81004744777917e-07, 1.766175596609123e-07, 1.340931927984075e-07]","[1.2266563944085233e-05, 1.0058604860443423e-05, 1.0963729879312433e-05, 9.979620921262268e-06, 7.56838743471371e-06]"
1,"[1.9489760329841595e-07, 1.5542823009832784e-07, 1.6460100067777587e-07, 1.612186289996667e-07, 1.2285172812342378e-07]","[1.202098335311284e-05, 9.546608991485407e-06, 1.0153630976630739e-05, 9.325515120386204e-06, 7.26126115961587e-06]"
2,"[1.6027021045343573e-07, 1.3220806043170704e-07, 1.4912459271907224e-07, 1.461058001276645e-07, 1.1718708346710732e-07]","[1.0493272581728586e-05, 8.695381508441294e-06, 9.787897513369874e-06, 9.087265264555816e-06, 7.15040259999474e-06]"
3,"[1.7253374650568167e-07, 1.4004166510492224e-07, 1.528123127050391e-07, 1.4583686903265168e-07, 1.1369913838581425e-07]","[1.046472604726488e-05, 8.801165159576464e-06, 1.0037617760225353e-05, 9.105763728717094e-06, 6.999438666135687e-06]"
4,"[1.8101875579502335e-07, 1.4938772897830818e-07, 1.653720358685506e-07, 1.6098065640911628e-07, 1.2235958514220727e-07]","[1.095018288365637e-05, 9.241877246530856e-06, 1.0517898428911246e-05, 1.0080995374885839e-05, 7.852714647165242e-06]"
5,"[1.658972897149612e-07, 1.3606266952667072e-07, 1.533062606164798e-07, 1.5057203248250148e-07, 1.2125909459241136e-07]","[1.1724307251567699e-05, 9.925924766190493e-06, 1.122832988742429e-05, 1.046793483332971e-05, 8.017239258606411e-06]"
6,"[1.7750112924514863e-07, 1.4231216624996443e-07, 1.5565361141862988e-07, 1.5401759882011177e-07, 1.219659325664891e-07]","[1.1621468552751522e-05, 9.815820318866972e-06, 1.1060160809452188e-05, 1.0771654339925048e-05, 8.408728485243647e-06]"
7,"[1.7163923272497215e-07, 1.3921238124232913e-07, 1.5235249972607386e-07, 1.5070868377420094e-07, 1.1780925079337004e-07]","[1.1008019655779427e-05, 9.059169307403142e-06, 9.898759526804327e-06, 9.362864142589826e-06, 7.095861737403129e-06]"
8,"[1.9781800975731004e-07, 1.5906397547979164e-07, 1.7080447831146843e-07, 1.6965115722411105e-07, 1.2948569462431855e-07]","[1.1471896244180061e-05, 9.529215769949686e-06, 1.048988686234444e-05, 9.624967819676824e-06, 7.3886118432355435e-06]"
9,"[1.690622810189963e-07, 1.3772910485693652e-07, 1.505074613557166e-07, 1.4712657661177525e-07, 1.1424066330285488e-07]","[1.0966778593161763e-05, 9.289598810782544e-06, 1.0549319623624307e-05, 9.837793834535342e-06, 7.706045296234996e-06]"
10,"[2.0220949963092516e-07, 1.6200814804400843e-07, 1.716461466159128e-07, 1.6724695368067806e-07, 1.2625018412312494e-07]","[1.2281220521948189e-05, 1.0018118666002105e-05, 1.079883838354899e-05, 1.0442224348531925e-05, 7.817217206861768e-06]"
11,"[1.7578807315975662e-07, 1.4396815410650474e-07, 1.5874819457931347e-07, 1.5740535543469026e-07, 1.255116541417295e-07]","[1.1839116433623412e-05, 9.547136928223123e-06, 1.014998146488551e-05, 9.539912251152497e-06, 7.174742183193621e-06]"
12,"[2.0425157942029407e-07, 1.6021088628396447e-07, 1.7009199711698518e-07, 1.637515326520107e-07, 1.3030780691771053e-07]","[1.2789396138098626e-05, 1.0200029645430556e-05, 1.0804258458133708e-05, 1.0125489733465136e-05, 7.807763024905844e-06]"
13,"[1.9682827886959732e-07, 1.5798670008839148e-07, 1.6828304570694982e-07, 1.659941017922777e-07, 1.2551494357556056e-07]","[1.2241571619753125e-05, 9.934332143674269e-06, 1.0815160743972943e-05, 1.023837916247806e-05, 7.799331828480193e-06]"
14,"[1.908623443372046e-07, 1.5332984962874268e-07, 1.6458719862501637e-07, 1.5957393403844174e-07, 1.2046611475316016e-07]","[1.1929233653874903e-05, 9.568742292876868e-06, 1.0173945435649273e-05, 9.333081410521174e-06, 7.1071338734812795e-06]"
15,"[2.037228581014418e-07, 1.645746722824793e-07, 1.8596793457900593e-07, 1.915992947222967e-07, 1.5503315575864259e-07]","[1.2128651929269178e-05, 9.969610344110207e-06, 1.0956533178480163e-05, 1.0640160760285526e-05, 8.21278599252755e-06]"
16,"[1.8436595169125361e-07, 1.495512749359851e-07, 1.6157981943831094e-07, 1.5830526943239217e-07, 1.1748462206433272e-07]","[1.1188280159361039e-05, 9.177901563581147e-06, 1.016871869416643e-05, 9.631442211233299e-06, 7.473336399348354e-06]"
17,"[1.9333826301197946e-07, 1.586501038339018e-07, 1.7230030904741244e-07, 1.6566867787893953e-07, 1.2446936289118207e-07]","[1.2402894719277304e-05, 1.0322099102693795e-05, 1.1325130070360418e-05, 1.0584667525412293e-05, 7.871416280991526e-06]"
