epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.9210995097014739, 0.9228150738814533, 0.9228333223754238, 0.91825987033047, 0.9184439625562526]","[-21.68528486064155, -22.19615990768682, -22.127307948997714, -22.216300170497384, -22.778145805689416]","[0.22324600957114693, 0.19311977465639452, 0.1672757953698403, 0.15582389703818167, 0.15315057510892444]"
1,"[0.9258038538564752, 0.9250027784616232, 0.9224270221011871, 0.9197322004454002, 0.9209023908989882]","[-21.81220017196303, -22.359445848534182, -22.33314177564266, -22.387339611915724, -22.953569023655138]","[0.1800554995546965, 0.20500857221026314, 0.27832839940542475, 0.2922360884704222, 0.35334674884807865]"
2,"[0.9227437213619576, 0.9235059740039361, 0.9219488004209437, 0.9197702745931563, 0.9182452571865983]","[-22.392241127127058, -22.8019041353928, -22.578142946153207, -22.651920083875368, -23.09704651580044]","[0.31676801695121054, 0.23606991611961523, 0.13097658755274288, 0.15038180645711557, 0.16095312689568633]"
3,"[0.9260434016925818, 0.9290897501624527, 0.9303081735758658, 0.9248929672550439, 0.9222676482786686]","[-22.246656774056078, -22.689313698422676, -22.529351343731307, -22.636241081364076, -23.140182791017292]","[0.4936257664582902, 0.5409165907808745, 0.47590037314224437, 0.4255610847564917, 0.3256879300575169]"
4,"[0.9241164729174014, 0.9295349001753057, 0.931766931986269, 0.9295273377309418, 0.9261930655920154]","[-22.09278814820889, -22.492789463705943, -22.31338945186714, -22.374073143706333, -22.943959594773812]","[0.3146119328969056, 0.30538849410981883, 0.2944559006140608, 0.3179913301032782, 0.3880269863979265]"
5,"[0.9293983995030823, 0.9321385188021263, 0.9320614074433318, 0.9284018131571847, 0.9237131466531908]","[-22.26222929165344, -22.695732978911888, -22.496541963435217, -22.536220576685462, -22.987992544903616]","[0.3909404105299892, 0.3199841156772285, 0.2603782155379054, 0.251352768810862, 0.27217492290649914]"
6,"[0.9300401775326949, 0.9331734797643375, 0.932063657571474, 0.930269252020467, 0.926906859416266]","[-21.94858017834765, -22.5034862797922, -22.449044302393034, -22.48401447391271, -22.988386498495753]","[0.5874943095300372, 0.4740697173757895, 0.3114839326162681, 0.3577121388502586, 0.3302348035200092]"
7,"[0.925753402019871, 0.9285603742942867, 0.9274589725668153, 0.9245447869494893, 0.9219350069937431]","[-22.218584879661854, -22.681189201149547, -22.53693428018602, -22.57875022908652, -23.071113329980466]","[0.4834779991065256, 0.4533574399581614, 0.4246244171589501, 0.42907214287996664, 0.3580658418058143]"
8,"[0.9272329824988126, 0.9311908334466324, 0.9320194901930641, 0.9294060233041198, 0.9259528181746794]","[-21.636846304425486, -22.11949734699877, -22.047028149920376, -22.030748724521516, -22.66246436412576]","[0.5866488694897781, 0.5449068089673559, 0.5131303518237704, 0.5568815761132132, 0.5531841921361319]"
9,"[0.9265081159787909, 0.9298120268549311, 0.9305583175521519, 0.9271526743199535, 0.9257832080829095]","[-22.283874536899532, -22.71378568789624, -22.545450386688916, -22.588808693988497, -23.089892440712582]","[0.2609426702513229, 0.28989299727605944, 0.31597774681879004, 0.4113157036787588, 0.4428517647137954]"
10,"[0.9284899857553554, 0.9294602275323097, 0.9288315191833207, 0.9291631804007783, 0.9257968897988832]","[-21.641862838954378, -22.18655473541313, -22.166626228679743, -22.235879877627703, -22.815636887929337]","[0.5206977950244658, 0.48717575270377894, 0.44003832874146603, 0.4269062188652513, 0.41387207635168227]"
11,"[0.9263943281352334, 0.9293664175355091, 0.9281566461161221, 0.9257939073723324, 0.9224672124673355]","[-22.141975095732768, -22.61295583025657, -22.449555238078137, -22.471363716858065, -22.91704815274767]","[0.37442216132657, 0.29208810405372004, 0.28474565446456396, 0.296455156135222, 0.24820880914199736]"
12,"[0.9280610930318501, 0.9308697160082495, 0.9264706458067997, 0.9277023305118732, 0.9204743729900209]","[-21.620860455950588, -22.24883506952302, -22.236668565026516, -22.321981721011735, -22.761955158084305]","[0.5468159107580531, 0.479632759506795, 0.4417234726349085, 0.422745743385689, 0.38819137768748596]"
13,"[0.9325150758481554, 0.9353722616896716, 0.9338106606764218, 0.9320103929587357, 0.9289822829947657]","[-21.780583268745513, -22.29033901530397, -22.2346159086961, -22.25095786595822, -22.85117439845764]","[0.5545874841917926, 0.5468529179764321, 0.5311994873452266, 0.5494517865282356, 0.4971094969789694]"
14,"[0.9291925252610256, 0.92977164519453, 0.9283428610592903, 0.926166181808678, 0.9246762434018445]","[-21.77347145106079, -22.325762792265863, -22.292888804484292, -22.36730156888092, -22.93480948952751]","[0.2596394676019638, 0.25025783196393375, 0.3151713438748015, 0.3197974021043527, 0.3518929013831135]"
15,"[0.9170632430766366, 0.9209255984281813, 0.9214887876805745, 0.9191728693394466, 0.9177612991778746]","[-21.727438609873662, -22.23652599989922, -21.944338449801624, -21.807865511251592, -22.037687778863035]","[0.48341760932186245, 0.4456298106882734, 0.6511988845304411, 0.7646610687298527, 0.8511862503454597]"
16,"[0.9268421569638353, 0.9294457228705137, 0.9287274092405524, 0.9254662438447708, 0.9217104196559316]","[-22.02732947036396, -22.491782736882733, -22.37632912270506, -22.44669080625286, -23.041493296654583]","[0.27893151459759524, 0.25056971824903673, 0.23968609118200748, 0.19054694360793661, 0.1648862181725334]"
17,"[0.9291657434287584, 0.9329242701084751, 0.933155909513081, 0.9283173903068325, 0.9245130769959362]","[-21.815843027401918, -22.240580321629828, -22.119865050303478, -22.226575687834476, -22.88650917232674]","[0.3597347407242258, 0.40648218494951976, 0.4208155746342127, 0.37516659793877355, 0.33545626649895943]"
18,"[0.9175951347007374, 0.921227496213077, 0.9215593289237823, 0.9188608621285423, 0.918309348367485]","[-21.918507374138404, -22.383392070058452, -22.288108944799653, -22.31651739822623, -22.91092700985245]","[0.44450569161600834, 0.43788613757410416, 0.43876680290505876, 0.41961171169520683, 0.3829442189573251]"
19,"[0.9175868696166094, 0.9214851328415868, 0.9239358723455201, 0.921313057173503, 0.920380522834676]","[-22.34098294419044, -22.707945879180144, -22.46935886460565, -22.484968454418397, -22.979613178179257]","[0.4943131779596735, 0.3718881209293103, 0.28506609124562443, 0.2702447625316784, 0.30096751462593335]"
20,"[0.9181648974542965, 0.9223144092066199, 0.924072416742572, 0.9217976116736173, 0.9202695373616704]","[-22.07873151486967, -22.472825668736608, -22.285411646089976, -22.313244004018344, -22.850837774646894]","[0.3677540128520593, 0.3250837628058904, 0.27459895351415997, 0.29988430872443317, 0.2714981240877493]"
21,"[0.9210342985533033, 0.9250287966103192, 0.9261245381136596, 0.9228745076971471, 0.9218374856809112]","[-22.241342824537295, -22.62842601063039, -22.405650847336297, -22.45866823638691, -22.95036030359469]","[0.3500133459092458, 0.2654884297606104, 0.17570151484772784, 0.19788852598256307, 0.19681032517965164]"
22,"[0.9179324323387907, 0.9217798316023922, 0.9235067310893047, 0.92100479791546, 0.9187105180384975]","[-21.962386882945083, -22.450506566948437, -22.361814346322582, -22.160424799689135, -22.56414823677102]","[0.7081165351936958, 0.6377407657545943, 0.5258826703821614, 0.7488024625958715, 0.7576575262851154]"
23,"[0.9225622981743516, 0.9285226908216524, 0.9301873276989975, 0.9286086895054415, 0.9244757811078754]","[-22.044175545836286, -22.38391989738436, -22.150372803841936, -22.13546530578389, -22.708594507553066]","[0.422380898413349, 0.44614691031900205, 0.4827513794984493, 0.4472842164206519, 0.4392299543790243]"
24,"[0.8892024404885989, 0.8882485039798583, 0.886275696863106, 0.8820179798101864, 0.8811444544324311]","[-20.423198009724945, -21.01256982485391, -21.062676173667292, -21.076218327078454, -21.766163271791747]","[0.6590779879733203, 0.6673960965718622, 0.5788070625995315, 0.5756870426211498, 0.5202350112911087]"
25,"[0.8920493411490782, 0.8880031064921212, 0.8847005140289919, 0.8807816847564762, 0.881109880981743]","[-19.899676367535445, -20.404262154180937, -20.426797277469923, -20.39423809626241, -21.22533530954971]","[0.6886999129511656, 0.6805443093613361, 0.6159996771541705, 0.6151209641003897, 0.49002567490075755]"
26,"[0.8942933091231605, 0.8912231071638846, 0.889954261119941, 0.8921460996844196, 0.8991849230141178]","[-19.73706798309655, -20.297032155668454, -20.20854160097127, -19.604197431183476, -19.80664344707063]","[0.5502460745732963, 0.5197679983785206, 0.5837904709102948, 0.6218076650960515, 0.7216288192680129]"
27,"[0.9159214344604056, 0.9163750961660425, 0.9175452508635081, 0.9180097986524027, 0.9228018825694082]","[-20.79389148113968, -21.416672763856855, -21.519423391838153, -21.528982250324532, -22.215377564003653]","[0.3548787534326198, 0.3559064607638941, 0.35919856074814466, 0.4341551616384084, 0.45073280058224896]"
28,"[0.9069984313711918, 0.9095764431874527, 0.9117723236292552, 0.9117407605859378, 0.9139615641242413]","[-20.10776163825933, -20.503316340452596, -20.319880396699457, -20.06014043490036, -20.602238159812252]","[0.7679868806712804, 0.8005227653914989, 0.8530091233797317, 0.8833783302897086, 0.799160158854887]"
29,"[0.9185350161285113, 0.919787618662837, 0.9212265071226046, 0.9201538837116064, 0.9242968983225768]","[-20.997166662877415, -21.678886473659485, -21.821130233386178, -21.874765258010573, -22.444274539370976]","[0.6057012168571174, 0.49381796424422814, 0.36349882545971174, 0.32386621751573974, 0.25898094351691714]"
30,"[0.9175320785156811, 0.9188933517924697, 0.9209653822405736, 0.9215743476868754, 0.9284720482319446]","[-21.661655745545346, -22.138982093949405, -22.015988243684976, -21.97891563022977, -22.483921823541007]","[0.24888111038497646, 0.2209469999532547, 0.1958977171631122, 0.23958543910384308, 0.21305007040871013]"
31,"[0.9103858915421356, 0.9130269709104155, 0.9169611856551135, 0.9198096179234745, 0.9290819478472656]","[-22.006005016748492, -22.407226425795002, -22.222392580364026, -22.14126903430736, -22.618009496203577]","[0.3068118875717593, 0.26846843326844694, 0.2402205590117722, 0.2774134561672375, 0.29342693107097895]"
32,"[0.9039978153581505, 0.9078783980559708, 0.9124772992387472, 0.9188372004443, 0.9267917301756162]","[-21.956800660257592, -22.33249086060137, -22.114847996127306, -22.041637876337493, -22.530842025671962]","[0.39494984833969843, 0.37175660507497044, 0.3726054063697743, 0.3589983438250219, 0.40653979551863034]"
33,"[0.9060061414929084, 0.9066908172594972, 0.9090081622350172, 0.9100870694778539, 0.9183565250680962]","[-21.371751228405685, -22.02477807660839, -22.096750798477828, -22.104842919322756, -22.679329653176136]","[0.5181329332060611, 0.5552274767203065, 0.4680924378511717, 0.4406217783602037, 0.4634087830896797]"
34,"[0.8920168311121709, 0.892027834051939, 0.8947940063296997, 0.8918377069503076, 0.8969044811089407]","[-21.498163892535953, -22.12116729679127, -22.198672393582747, -22.244810370070326, -23.06815700805702]","[0.4103125882308506, 0.37004954324225214, 0.30463506492410686, 0.29832282084307893, 0.26174169022235877]"
35,"[0.9006464468951225, 0.9030304834228137, 0.9067880464131338, 0.8994267406006448, 0.8991672087603264]","[-22.003358775976047, -22.479099751066677, -22.32581967035222, -22.133813495880695, -22.95578484497793]","[0.38839014958134405, 0.38908521063311696, 0.4059299259112156, 0.4036910407079678, 0.40807752575457573]"
