epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[1.68524686e-10 3.32385885e-10 3.32278391e-10 2.93261875e-10
 2.91623457e-10]",[0.14394626 0.14408269 0.1435239  0.14023642 0.13598958],[1.6030692  1.69750419 1.70723459 1.73139703 1.7584513 ],[0.57832824 0.57832314 0.58033242 0.58163291 0.5810215 ],[0.54670109 0.54743047 0.54594564 0.53527969 0.51679554],[0.46830335 0.46825577 0.46803243 0.45828469 0.43872148],[3.70319974 3.70274599 3.69954236 3.68486972 3.67206026]
1,"[2.35880366e-10 4.67142342e-10 4.79403431e-10 4.59385726e-10
 4.72838849e-10]",[0.10518041 0.1050593  0.10361136 0.09949301 0.09843023],[1.98096101 2.13520245 2.1727669  2.24376653 2.22763514],[0.56923676 0.56922123 0.57063937 0.56895141 0.56648941],[0.44955448 0.44893037 0.44360508 0.42764538 0.42149461],[0.38936821 0.38874983 0.38337824 0.36407326 0.35461325],[3.43174384 3.43193242 3.43365644 3.44928137 3.47061959]
2,"[6.10614724e-10 1.22002172e-09 1.31960884e-09 1.42966412e-09
 1.48633244e-09]",[0.07789558 0.07760838 0.07572491 0.07120459 0.07015304],[3.00556146 3.19009642 3.28062505 3.47240278 3.47433659],[0.57367262 0.57387694 0.57382138 0.57145389 0.56937632],[0.31223767 0.31014733 0.29994039 0.27408354 0.26846654],[0.26373726 0.26205341 0.25198483 0.22519304 0.21744828],[3.20496446 3.20141979 3.1806145  3.14051105 3.16288234]
3,"[2.26904380e-10 4.49258365e-10 4.60031870e-10 4.33455806e-10
 4.34538685e-10]",[0.1222869  0.12218932 0.12066406 0.11492374 0.11039742],[1.85933708 1.97547129 2.00536061 2.08008948 2.10563544],[0.58050928 0.58002436 0.58141871 0.58142554 0.57845029],[0.49451328 0.49390105 0.48814099 0.468054   0.45275437],[0.42451824 0.42373817 0.41759653 0.39483969 0.37603662],[3.62495833 3.62468781 3.62207554 3.60195714 3.57159965]
4,"[2.66404514e-10 5.29432320e-10 5.54819400e-10 5.58984160e-10
 5.76112842e-10]",[0.12098283 0.12106495 0.12087256 0.12017497 0.11961936],[1.86403754 1.96508601 1.97492724 1.98297394 1.97726147],[0.57632106 0.57609474 0.576095   0.57522116 0.57403726],[0.48984023 0.48934366 0.48545873 0.46983319 0.4591567 ],[0.40479274 0.40392863 0.39704949 0.37095369 0.35343619],[3.64916115 3.65071859 3.66002557 3.68173928 3.68297244]
5,"[3.60633249e-10 7.17860923e-10 7.59688985e-10 7.84187660e-10
 8.12259209e-10]",[0.12976103 0.12977996 0.12927154 0.12668762 0.12338966],[1.99752602 2.07222694 2.09024847 2.14285955 2.19027593],[0.58250396 0.58271125 0.58252268 0.58350898 0.58283857],[0.50789795 0.50765854 0.50458214 0.49239267 0.48073353],[0.4086522  0.40794651 0.40268562 0.38504775 0.37140291],[3.71073974 3.71193011 3.71936685 3.74268028 3.75757964]
6,"[3.63474060e-10 7.23124913e-10 7.61968963e-10 7.66398545e-10
 7.64481155e-10]",[0.11333528 0.1130767  0.11094863 0.10395811 0.09893529],[2.1941156  2.30048803 2.3381352  2.42932557 2.4561195 ],[0.57947255 0.57921736 0.57972097 0.5794955  0.57757465],[0.459968   0.45889942 0.45093093 0.42636785 0.40323707],[0.37551314 0.37460607 0.36862419 0.34856176 0.33054773],[3.54542307 3.54342514 3.53085391 3.4915261  3.46372389]
7,"[3.86735059e-10 7.63860028e-10 7.69475092e-10 6.78707341e-10
 6.40921372e-10]",[0.12325768 0.12314106 0.12171539 0.11396546 0.10324382],[2.13053507 2.21294234 2.23580541 2.3342641  2.46175196],[0.59024245 0.58986407 0.59009306 0.59183989 0.5857109 ],[0.49929902 0.49859183 0.49651558 0.47467704 0.43627962],[0.42760183 0.42695077 0.42310906 0.39992277 0.36127751],[3.73233124 3.73341751 3.73939505 3.73701531 3.66734611]
8,"[2.29591648e-10 4.55008131e-10 4.68290416e-10 4.42024638e-10
 4.31971039e-10]",[0.12943168 0.12937954 0.12811716 0.12318771 0.11869966],[1.86302941 1.96593097 1.98287154 2.01417428 2.0151286 ],[0.58061479 0.58061502 0.57973123 0.57945968 0.57472201],[0.51282845 0.51210195 0.50856473 0.49169831 0.47908468],[0.42526038 0.42444221 0.41953942 0.40275146 0.39308497],[3.71654757 3.71647655 3.71538878 3.69792771 3.65385119]
9,"[2.30382838e-10 4.56070486e-10 4.66135027e-10 4.31308985e-10
 4.18551757e-10]",[0.12614135 0.12618456 0.12557974 0.12325079 0.12126906],[1.84275738 1.94857011 1.9639605  1.99248213 2.00066968],[0.5739455  0.57396091 0.5755333  0.57578119 0.57207721],[0.49414177 0.49310683 0.49011818 0.477672   0.46808475],[0.41078057 0.41023054 0.40652225 0.39054874 0.37127627],[3.67062364 3.67086838 3.67259812 3.67907656 3.67859986]
