mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[-1.61621146e-07 -2.28227221e-07 -2.35994463e-07 -2.37046445e-07
 -2.28984939e-07]","[1.29817058e-05 1.82314532e-05 1.82285049e-05 1.71248905e-05
 1.70769862e-05]","[1.68524686e-10 3.32385885e-10 3.32278391e-10 2.93261875e-10
 2.91623457e-10]",[-0.13210074 -0.12971273 -0.1116879  -0.00801487  0.12616899],[1.21011587 1.21212785 1.2385192  1.50739794 1.86451502],"[1.29827119e-05 1.82328816e-05 1.82300325e-05 1.71265310e-05
 1.70785213e-05]",[0.04726562 0.04739583 0.04778646 0.04674479 0.04511719],"[2.24665225e-11 4.44086026e-11 4.49772116e-11 4.07527820e-11
 3.97427395e-11]",[0.32765311 0.32850523 0.33380301 0.34783399 0.34685552],"[2.20828580e-11 4.34405785e-11 4.26798499e-11 3.54141921e-11
 3.40805400e-11]",[0.32205772 0.32134443 0.3167529  0.30226795 0.29743857],"[1.25699894e-11 2.47506076e-11 2.45397398e-11 2.20188831e-11
 2.38915851e-11]",[0.18332148 0.18308849 0.18212421 0.18793603 0.20851427],"[2.30384694e-11 4.53825180e-11 4.49391941e-11 3.75346807e-11
 3.46982775e-11]",[0.33599442 0.33570961 0.33352086 0.32036679 0.30282988],"[1.00157863e-12 1.98257085e-12 2.02526106e-12 1.86437191e-12
 1.79180880e-12]",[0.01460708 0.01466574 0.01503068 0.01591283 0.01563805],0
"[-2.90477601e-08 -3.98766559e-08 -3.37556139e-08 -7.49801005e-09
  1.86066079e-08]","[1.53583972e-05 2.16134759e-05 2.18952833e-05 2.14332855e-05
 2.17448580e-05]","[2.35880366e-10 4.67142342e-10 4.79403431e-10 4.59385726e-10
 4.72838849e-10]",[0.16000408 0.15851691 0.1473231  0.08521491 0.00572242],[0.65506693 0.64891803 0.61682258 0.56286696 0.47125778],"[1.53584247e-05 2.16135127e-05 2.18953093e-05 2.14332868e-05
 2.17448659e-05]",[0.03522135 0.03574219 0.03483073 0.0328776  0.03235677],"[3.07006682e-11 6.05228246e-11 6.02330994e-11 5.10550264e-11
 4.73078856e-11]",[0.41814388 0.41857429 0.42058466 0.41308424 0.38220788],"[2.66861370e-11 5.23871965e-11 5.07992284e-11 4.06089329e-11
 3.92217670e-11]",[0.36346587 0.3623085  0.35471155 0.3285653  0.31687885],"[1.54607119e-11 3.04264480e-11 3.01393482e-11 2.81159316e-11
 3.31068405e-11]",[0.21057529 0.21042853 0.21045152 0.22748491 0.26747539],"[1.66084122e-11 3.27412642e-11 3.26170902e-11 2.83288860e-11
 2.77240516e-11]",[0.226207   0.22643774 0.22775265 0.22920792 0.22398699],"[7.10900915e-13 1.41072726e-12 1.46304645e-12 1.40500862e-12
 1.36931151e-12]",[0.00968249 0.00975655 0.01021589 0.01136787 0.01106288],1
"[1.16693683e-08 1.69505802e-08 2.06351097e-08 3.17242506e-08
 4.14153138e-08]","[2.47106197e-05 3.49288093e-05 3.63264206e-05 3.78108994e-05
 3.85529822e-05]","[6.10614724e-10 1.22002172e-09 1.31960884e-09 1.42966412e-09
 1.48633244e-09]",[0.06280364 0.06320125 0.0648901  0.06057284 0.04352397],[0.36242241 0.36893105 0.40903424 0.5221236  0.57383189],"[2.47106224e-05 3.49288134e-05 3.63264265e-05 3.78109128e-05
 3.85530044e-05]",[0.02929688 0.02929688 0.02877604 0.02643229 0.02545573],"[5.92260731e-11 1.17838303e-10 1.24183489e-10 1.24267163e-10
 1.22365938e-10]",[0.52252325 0.52361965 0.52981962 0.53884966 0.52616959],"[3.18078515e-11 6.29240053e-11 6.40775990e-11 5.91917075e-11
 5.84999466e-11]",[0.28062542 0.27960557 0.27338231 0.25666822 0.25154789],"[1.50698046e-11 2.98716732e-11 3.09294243e-11 3.18787307e-11
 3.65379660e-11]",[0.13295366 0.13273609 0.13195809 0.13823316 0.15711208],"[2.33839522e-11 4.63145144e-11 4.75136281e-11 4.48334483e-11
 4.46126574e-11]",[0.2063054  0.20580057 0.20271336 0.19440766 0.19183299],"[1.57911637e-12 3.14626881e-12 3.34385933e-12 3.42260262e-12
 3.40092770e-12]",[0.01393179 0.01398058 0.01426633 0.01484116 0.01462388],2
"[2.02621826e-08 2.96404754e-08 3.73280026e-08 6.11623382e-08
 8.22490902e-08]","[1.50633456e-05 2.11957157e-05 2.14483536e-05 2.08196015e-05
 2.08455915e-05]","[2.26904380e-10 4.49258365e-10 4.60031870e-10 4.33455806e-10
 4.34538685e-10]",[ 0.08797019  0.08705572  0.07846804  0.01674685 -0.0551701 ],[0.99939217 1.01931012 1.1497243  1.56569944 1.68202268],"[1.50633592e-05 2.11957364e-05 2.14483860e-05 2.08196913e-05
 2.08457538e-05]",[0.04173177 0.04134115 0.04095052 0.03925781 0.03808594],"[2.66280628e-11 5.25968080e-11 5.30535938e-11 4.77157398e-11
 4.68950663e-11]",[0.35544899 0.35610559 0.36024039 0.37139635 0.37120554],"[2.32976952e-11 4.57603230e-11 4.45195031e-11 3.58210212e-11
 3.43022173e-11]",[0.31099304 0.30981931 0.30229287 0.27881359 0.27152479],"[1.46028025e-11 2.87134985e-11 2.82390739e-11 2.51027089e-11
 2.80040548e-11]",[0.19492786 0.19440414 0.19174676 0.1953874  0.22167066],"[2.22789753e-11 4.39562894e-11 4.39470198e-11 3.75181787e-11
 3.42739464e-11]",[0.2973945  0.29760514 0.29840564 0.29202344 0.27130101],"[9.91537105e-13 1.96225636e-12 1.99726717e-12 1.75495290e-12
 1.52557649e-12]",[0.01323569 0.01328542 0.01356169 0.01365971 0.01207595],3
"[ 5.43894059e-08  7.39423441e-08  5.75989438e-08 -8.69372830e-09
 -7.35514236e-08]","[1.63219029e-05 2.30093963e-05 2.35546047e-05 2.36428459e-05
 2.40023508e-05]","[2.66404514e-10 5.29432320e-10 5.54819400e-10 5.58984160e-10
 5.76112842e-10]",[0.22435511 0.22248552 0.20836871 0.13321716 0.04364256],[0.59973101 0.60796327 0.6618622  0.84757705 0.95233182],"[1.63219935e-05 2.30095152e-05 2.35546751e-05 2.36428475e-05
 2.40024635e-05]",[0.03847656 0.03886719 0.03821615 0.0375651  0.03626302],"[2.82988793e-11 5.59963490e-11 5.71124027e-11 5.30944751e-11
 5.27793541e-11]",[0.34746002 0.34698468 0.34380311 0.33152193 0.32115369],"[2.43666220e-11 4.80662286e-11 4.81092415e-11 4.28383224e-11
 4.31655312e-11]",[0.29917888 0.29784522 0.28960621 0.26748251 0.26265516],"[1.56360023e-11 3.10133941e-11 3.22141461e-11 3.31509808e-11
 3.73237757e-11]",[0.19198236 0.19217633 0.19392151 0.20699474 0.22710904],"[2.62453078e-11 5.21611580e-11 5.46643785e-11 5.48029077e-11
 5.58346508e-11]",[0.32224581 0.3232197  0.32906658 0.34218939 0.33974467],"[1.02776024e-12 2.04591290e-12 2.16360163e-12 2.20147570e-12
 2.21408489e-12]",[0.01261907 0.01267762 0.01302437 0.01374602 0.01347234],4
"[-1.19406810e-07 -1.66358990e-07 -1.56934191e-07 -1.04587342e-07
 -4.90923565e-08]","[1.89903462e-05 2.67929267e-05 2.75624561e-05 2.80033509e-05
 2.85001616e-05]","[3.60633249e-10 7.17860923e-10 7.59688985e-10 7.84187660e-10
 8.12259209e-10]",[-0.11188557 -0.10863013 -0.08955966 -0.0516052  -0.06376995],[0.45932562 0.45527237 0.4286132  0.32050019 0.20621418],"[1.89907216e-05 2.67934432e-05 2.75629028e-05 2.80035462e-05
 2.85002038e-05]",[0.04029948 0.03964844 0.03938802 0.03561198 0.03574219],"[3.69800296e-11 7.33176936e-11 7.56274102e-11 7.15449406e-11
 6.93700433e-11]",[0.35781467 0.35760141 0.35614673 0.34997915 0.34346707],"[2.77515858e-11 5.49012914e-11 5.59163651e-11 5.17219418e-11
 5.12334601e-11]",[0.26852127 0.26777682 0.26332292 0.25301022 0.25366867],"[1.43135419e-11 2.83336313e-11 2.90252280e-11 2.81808647e-11
 3.01485229e-11]",[0.13849625 0.13819511 0.13668642 0.13785343 0.14927229],"[3.75600286e-11 7.46841042e-11 7.84112263e-11 7.77441341e-11
 7.64151429e-11]",[0.36342668 0.36426597 0.36925635 0.38030399 0.37834899],"[3.28133001e-12 6.53766738e-12 6.94038828e-12 6.97648659e-12
 6.67460094e-12]",[0.03174979 0.03188697 0.03268387 0.03412715 0.03304749],5
"[-1.79480759e-08 -2.60942441e-08 -3.18776240e-08 -4.93804250e-08
 -6.46977945e-08]","[1.90649957e-05 2.68909820e-05 2.76037853e-05 2.76839041e-05
 2.76492523e-05]","[3.63474060e-10 7.23124913e-10 7.61968963e-10 7.66398545e-10
 7.64481155e-10]",[0.25243135 0.25539024 0.27382159 0.32870973 0.35725213],[0.38840371 0.39928798 0.47893999 0.89090617 1.40432822],"[1.90650041e-05 2.68909947e-05 2.76038037e-05 2.76839481e-05
 2.76493280e-05]",[0.0344401  0.03470052 0.03378906 0.03339844 0.03300781],"[4.21084162e-11 8.36698755e-11 8.75051171e-11 8.63073293e-11
 8.55754273e-11]",[0.42243775 0.42310096 0.42702823 0.43523452 0.43259267],"[2.75788693e-11 5.46801908e-11 5.65405388e-11 5.57690110e-11
 5.87765037e-11]",[0.27667523 0.27650622 0.27591994 0.2812345  0.29712133],"[1.23320164e-11 2.44841739e-11 2.56214953e-11 2.74101638e-11
 3.21672243e-11]",[0.12371658 0.12381132 0.12503385 0.13822522 0.16260866],"[3.02236427e-11 5.98115697e-11 6.09113816e-11 5.44231634e-11
 4.93928997e-11]",[0.30320798 0.30245452 0.29724981 0.2744476  0.24968624],"[2.09719373e-12 4.14778704e-12 4.20058458e-12 3.58725408e-12
 2.97815658e-12]",[0.02103935 0.02097449 0.02049901 0.01808997 0.01505489],6
"[6.51506569e-08 9.06024957e-08 8.43485545e-08 5.18818576e-08
 1.79645298e-08]","[1.96655806e-05 2.76380178e-05 2.77394141e-05 2.60520122e-05
 2.53164249e-05]","[3.86735059e-10 7.63860028e-10 7.69475092e-10 6.78707341e-10
 6.40921372e-10]",[0.13425095 0.13996912 0.17233143 0.20633187 0.10179555],[ 0.72446891  0.67056769  0.36664425 -0.09854099  0.05630451],"[1.96656885e-05 2.76381663e-05 2.77395423e-05 2.60520639e-05
 2.53164313e-05]",[0.03990885 0.03964844 0.0374349  0.03352865 0.03066406],"[3.05483373e-11 6.00665149e-11 5.88554569e-11 4.86053793e-11
 4.71346304e-11]",[0.33884715 0.33869076 0.3380389  0.3426947  0.35996747],"[2.41077304e-11 4.72642155e-11 4.54926930e-11 3.63323954e-11
 3.69719854e-11]",[0.26740688 0.26650378 0.26128928 0.25616341 0.28235529],"[9.57554434e-12 1.89120285e-11 1.91856208e-11 1.93911397e-11
 2.35273554e-11]",[0.1062135  0.10663727 0.11019345 0.13671822 0.17967856],"[3.59726345e-11 7.08681391e-11 7.00118074e-11 5.48824302e-11
 4.29092382e-11]",[0.39901434 0.39959675 0.40211589 0.38695137 0.32769812],"[2.75633280e-12 5.43097434e-12 5.36336450e-12 4.09633010e-12
 2.93495124e-12]",[0.03057369 0.03062307 0.03080472 0.02888138 0.02241424],7
"[-7.24523473e-08 -1.01596578e-07 -1.00157748e-07 -8.34991833e-08
 -6.39112045e-08]","[1.51522819e-05 2.13309196e-05 2.16400188e-05 2.10243820e-05
 2.07839130e-05]","[2.29591648e-10 4.55008131e-10 4.68290416e-10 4.42024638e-10
 4.31971039e-10]",[-0.23820811 -0.23758148 -0.23286245 -0.20388686 -0.15457314],[0.6048536  0.60940927 0.64004384 0.77290838 0.9227989 ],"[1.51524551e-05 2.13311615e-05 2.16402506e-05 2.10245478e-05
 2.07840113e-05]",[0.03932292 0.03932292 0.03919271 0.03684896 0.03632813],"[2.42576012e-11 4.79811306e-11 4.87997419e-11 4.46494120e-11
 4.34480152e-11]",[0.34212682 0.34204432 0.34135057 0.33647888 0.3290477 ],"[2.06918614e-11 4.09156405e-11 4.16186921e-11 3.93614932e-11
 4.13385198e-11]",[0.29183598 0.29167638 0.29111966 0.29662902 0.31307172],"[1.23211212e-11 2.44765073e-11 2.57066873e-11 2.77881656e-11
 3.27376408e-11]",[0.17377588 0.17448631 0.17981637 0.20941218 0.24793412],"[2.46089136e-11 4.86169157e-11 4.89877665e-11 4.23787739e-11
 3.79394648e-11]",[0.3470817  0.34657666 0.34266578 0.3193673  0.28732944],"[1.85865714e-12 3.67285180e-12 3.69992823e-12 3.08487751e-12
 2.48205391e-12]",[0.02621432 0.02618275 0.02588072 0.0232477  0.0187975 ],8
"[2.90214048e-07 4.08228342e-07 4.11050244e-07 3.74472185e-07
 3.24118760e-07]","[1.51783674e-05 2.13558068e-05 2.15901604e-05 2.07679798e-05
 2.04585375e-05]","[2.30382838e-10 4.56070486e-10 4.66135027e-10 4.31308985e-10
 4.18551757e-10]",[ 0.13648793  0.13615306  0.13033717  0.05176024 -0.09604418],[0.62856822 0.62523241 0.60530697 0.58421306 0.68463097],"[1.51811417e-05 2.13597082e-05 2.15940730e-05 2.07713556e-05
 2.04611048e-05]",[0.04042969 0.0405599  0.04029948 0.03873698 0.0375651 ],"[2.46874421e-11 4.87952706e-11 4.93658715e-11 4.40760779e-11
 4.17286166e-11]",[0.35017706 0.35035005 0.35126802 0.35118788 0.34503996],"[2.10491589e-11 4.15139143e-11 4.14262336e-11 3.54747892e-11
 3.31216874e-11]",[0.29857012 0.29806991 0.29477269 0.28265482 0.27387214],"[1.17297592e-11 2.31732657e-11 2.34766955e-11 2.25504930e-11
 2.50070150e-11]",[0.16637984 0.16638405 0.16705088 0.17967705 0.20677463],"[2.43774801e-11 4.81607474e-11 4.85543188e-11 4.24394961e-11
 3.89189576e-11]",[0.34578042 0.34579417 0.34549333 0.33814798 0.32180783],"[1.18912539e-12 2.36030577e-12 2.44970155e-12 2.31579480e-12
 2.15981582e-12]",[0.01686705 0.016947   0.01743111 0.01845171 0.01785879],9
